PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE, PRICE_PER_UNIT_AREA ,,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,REGISTER_DATE,PROP_NAME,MIN_PRICE ,MAX_PRICE ,PRICE_SQFT ,,LISTING,CARPET_SQFT,SUPERBUILTUP_SQFT,BROKERAGE,MIN_AREA_SQFT, MAX_AREA_SQFT ,GROUP_NAME,AREA,PRICE,SOCIETY_NAME,BUILDING_NAME
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,10109.00,,0,3,5,10,24,"15th Sep, 2023",Sobha City,29450000.00,29450000.00,10109.00,,R,1900,2913,0.00,270.63, ? 270.63 ,SPID_GROUP_SEARCH_NORMAL,2913 sq.ft.,29400000.00,Sobha City,Sobha City
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,15499.00,,0,3,5,8,24,"25th Aug, 2023",Sobha City,23436000.00,23436000.00,15499.00,,R,1512.05,2343,0.00,217.67, ? 217.67 ,SPID_GROUP_SEARCH_NORMAL,2343 sq.ft.,23400000.00,Sobha City,Sobha City
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,15544.00,,0,3,5,10,24,"25th Aug, 2023",Sobha City,27125000.00,27125000.00,15544.00,,R,,1745,0.00,162.12, ? 162.12 ,SPID_GROUP_SEARCH_NORMAL,1745 sq.ft.,27100000.00,Sobha City,Sobha City
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,7282.00,,0,0,5,7,34,"25th Aug, 2023",Godrej Meridien,13837500.00,13837500.00,7282.00,,R,1900,,0.00,176.52, ? 176.52 ,SPID_GROUP_SEARCH_NORMAL,1900 sq.ft.,13800000.00,Godrej Meridien,Godrej Meridien
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,13500.00,,0,0,5,7,34,"15th Sep, 2023",Godrej Meridien,27675000.00,27675000.00,13500.00,,R,2050,,0.00,190.45, ? 190.45 ,SPID_GROUP_SEARCH_NORMAL,2050 sq.ft.,27700000.00,Godrej Meridien,Godrej Meridien
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,9783.00,,0,1,1,14,25,"02nd Sep, 2023",Conscient Heritage Max,19000000.00,19000000.00,9783.00,,R,,1942,1.00,180.42, ? 180.42 ,SPID_GROUP_SEARCH_NORMAL,1942 sq.ft.,19000000.00,Conscient Heritage Max,Conscient Heritage Max
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,14965.00,,4,5,1,10,39,"25th Aug, 2023",Ireo Skyon,22000000.00,22000000.00,14965.00,,R,,1470,1.00,136.57, ? 136.57 ,SPID_GROUP_SEARCH_NORMAL,1470 sq.ft.,22000000.00,Ireo Skyon,Ireo Skyon
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,15121.00,,4,5,1,14,39,"25th Aug, 2023",Ireo Skyon,31000000.00,31000000.00,15121.00,,R,,2050,1.00,190.45, ? 190.45 ,SPID_GROUP_SEARCH_NORMAL,2050 sq.ft.,31000000.00,Ireo Skyon,Ireo Skyon
S,Residential Apartment,Gurgaon,Sector 61 Gurgaon,1,1,12941.00,,4,5,2,18,32,"25th Aug, 2023",Pioneer Park,22000000.00,22000000.00,12941.00,,R,,1700,0.00,157.94, ? 157.94 ,SPID_GROUP_SEARCH_NORMAL,1700 sq.ft.,22000000.00,Pioneer Park,Pioneer Park
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,48.00,,4,1,1,14,27,"24th Aug, 2023",Pioneer Urban Presidia,150000.00,150000.00,48.00,,R,,3104,0.00,288.37, ? 288.37 ,SPID_GROUP_SEARCH_NORMAL,3104 sq.ft.,15000000.00,Pioneer Urban Presidia,Pioneer Urban Presidia
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,32.00,,4,1,1,30,34,"24th Aug, 2023",Pioneer Araya,250000.00,250000.00,32.00,,R,4957,7673,0.00,712.84, ? 712.84 ,SPID_GROUP_SEARCH_NORMAL,7673 sq.ft.,25000000.00,Pioneer Araya,Pioneer Araya
R,Residential Apartment,Gurgaon,Sector 54 Gurgaon,,0,82.00,,1,1,3,14,17,"23rd Aug, 2023",Emaar The Palm Springs,238000.00,238000.00,82.00,,R,,2875,120000.00,267.10, ? 267.10 ,SPID_GROUP_SEARCH_NORMAL,2875 sq.ft.,23800000.00,Emaar The Palm Springs,Emaar The Palm Springs
